======================== Summary ========================

Excluded 984 buildings from processing (reason: Missing year of construction)


================ Excluded buildings lists ===============

Excluded 984 buildings from processing (reason: Missing year of construction)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
UUID_64e7c073-ec8a-460c-baed-11e3129078a6;4311,70;178,25;384766,46250;5820083,25200;-
DEBE3D04YY50002cqa;13,46;3,59;384292,33700;5820011,94550;-
DEBE3DCE8hzlT9J5;4864,88;288,88;384694,07150;5820871,99150;-
DEBE3D04YY5000037N;4173,78;194,91;384833,33550;5820928,50700;-
DEBE3D00YY1Y50004M;659,17;29,73;384752,67450;5820482,64600;-
DEBE3DloQg9Trqll;742,00;34,42;384575,68900;5820110,52550;-
DEBE3D04YY500001tj;3311,65;163,87;384724,35600;5820976,50350;-
UUID_78a9b219-7722-4bf9-a5b6-8bb4ca3d1c27;3310,72;228,95;384582,80400;5820704,37250;-
DEBE3Dg0JmG6p7Lg;1545,87;64,36;384595,37050;5820736,69600;-
DEBE3D00YY1Y50004P;624,50;24,54;384740,13300;5820498,71450;-
DEBE3DNmOJh2wQP0;7501,56;317,59;384697,33850;5820045,34200;-
DEBE3Dm0RjzF5LJo;3097,82;367,73;384814,25250;5820243,34450;-
DEBE3DjjGEmaQ81T;1344,52;52,05;384581,60900;5820096,31350;-
DEBE3DKEbr6MOiCx;4365,14;270,58;384681,46000;5820826,32250;-
DEBE3DkwpILbFBm5;2123,14;97,42;384999,20450;5820798,96400;-
UUID_2c1b244a-3dbb-4f07-bbfe-c8e7453d6120;8603,72;354,85;384923,20950;5820187,66250;-
DEBE3DywD998J0Vr;1086,07;42,26;384619,87550;5820041,43350;-
DEBE3DLNz2KHLn1a;6007,10;258,59;384835,51850;5820727,98100;-
DEBE3D04YY50000FW2;188,43;51,27;384866,40500;5820928,44000;-
DEBE3DB3Ka6z8v6M;1250,81;55,78;384781,69000;5820705,97900;-
DEBE3D04YY500005Oq;18066,81;794,08;384538,72150;5820927,03650;-
DEBE3DYcL34w1BPC;872,95;54,61;384791,29650;5820142,99000;-
DEBE3DJvmMTQdtk9;2208,28;97,14;384622,77750;5820762,16350;-
DEBE3D04YY50002cQh;54,76;17,23;384897,86050;5820924,08550;-
DEBE3D04YY50002bpa;18,69;6,68;384833,35850;5820569,98150;-
DEBE3DDdjQ74rlSf;2867,12;132,16;384845,55250;5820789,56700;-
