Index;Consumption [kWh/h]
1340;1532,89
1341;1532,68
1342;1532,48
1343;1531,33
1344;1530,89
1345;1530,53
1346;1530,39
1347;1529,97
1348;1529,96
1349;1529,84
1350;1529,62
1351;1528,87
1352;1528,83
1353;1528,78
1354;1528,23
1355;1528,23
1356;1527,71
1357;1527,45
1358;1527,17
1359;1527,01
1360;1526,91
1361;1525,88
1362;1525,35
1363;1523,90
1364;1523,58
1365;1523,37
1366;1523,26
1367;1522,02
1368;1521,90
1369;1521,79
1370;1521,57
1371;1521,17
1372;1520,57
1373;1520,36
1374;1519,43
1375;1518,51
1376;1517,97
1377;1517,75
1378;1515,91
1379;1515,85
1380;1515,31
1381;1512,46
1382;1512,17
1383;1511,27
1384;1510,96
1385;1510,85
1386;1510,68
1387;1508,44
1388;1505,95
1389;1505,71
1390;1505,37
1391;1505,03
1392;1504,50
1393;1503,56
1394;1501,05
1395;1500,32
1396;1499,51
1397;1499,05
1398;1498,12
1399;1498,07
1400;1497,90
1401;1497,64
1402;1497,63
1403;1497,52
1404;1497,30
1405;1496,83
1406;1495,81
1407;1494,51
1408;1493,52
1409;1492,95
1410;1492,65
1411;1492,03
1412;1491,58
1413;1491,39
1414;1491,27
1415;1491,21
1416;1490,36
1417;1490,11
1418;1489,85
1419;1489,38
1420;1489,16
1421;1489,07
1422;1488,61
1423;1487,41
1424;1487,36
1425;1487,10
1426;1486,85
1427;1486,62
1428;1486,49
1429;1486,04
1430;1485,86
1431;1485,31
1432;1485,14
1433;1484,42
1434;1484,36
1435;1483,77
1436;1483,64
1437;1483,33
1438;1482,93
1439;1482,79
1440;1482,79
1441;1482,02
1442;1481,86
1443;1481,71
1444;1480,26
1445;1480,06
1446;1479,19
1447;1479,19
1448;1478,32
1449;1478,18
1450;1477,91
1451;1477,80
1452;1477,69
1453;1477,16
1454;1477,08
1455;1476,79
1456;1476,43
1457;1476,20
1458;1476,08
1459;1475,71
1460;1475,53
1461;1475,34
1462;1475,34
1463;1475,22
1464;1475,09
1465;1474,78
1466;1474,68
1467;1474,45
1468;1474,37
1469;1474,25
1470;1473,92
1471;1473,68
1472;1473,57
1473;1473,39
1474;1473,18
1475;1473,07
1476;1472,64
1477;1472,48
1478;1472,48
1479;1472,24
1480;1472,21
1481;1471,98
1482;1471,88
1483;1471,53
1484;1471,39
1485;1471,31
1486;1471,21
1487;1471,10
1488;1471,06
1489;1471,04
1490;1471,00
1491;1470,89
1492;1470,78
1493;1470,51
1494;1470,13
1495;1469,89
1496;1469,36
1497;1469,11
1498;1468,58
1499;1468,31
1500;1468,28
1501;1468,22
1502;1467,76
1503;1466,78
1504;1466,40
1505;1464,88
1506;1464,51
1507;1464,34
1508;1463,85
