Index;Consumption [kWh/h]
1788;2555,29
1789;2555,20
1790;2555,07
1791;2554,96
1792;2554,70
1793;2554,56
1794;2554,52
1795;2554,33
1796;2554,30
1797;2554,26
1798;2554,24
1799;2554,16
1800;2554,02
1801;2554,00
1802;2553,88
1803;2553,81
1804;2553,64
1805;2553,56
1806;2553,51
1807;2553,43
1808;2553,29
1809;2553,15
1810;2553,04
1811;2552,91
1812;2552,89
1813;2552,75
1814;2552,69
1815;2552,42
1816;2552,27
1817;2552,24
1818;2552,06
1819;2552,06
1820;2551,97
1821;2551,89
1822;2551,72
1823;2551,54
1824;2551,53
1825;2551,21
1826;2551,18
1827;2550,92
1828;2550,88
1829;2550,53
1830;2550,20
1831;2550,06
1832;2550,06
1833;2550,04
1834;2549,95
1835;2549,76
1836;2549,69
1837;2549,64
1838;2549,62
1839;2549,59
1840;2549,54
1841;2549,26
1842;2549,10
1843;2548,95
1844;2548,78
1845;2548,74
1846;2548,50
1847;2548,45
1848;2548,42
1849;2548,41
1850;2548,37
1851;2548,36
1852;2548,31
1853;2548,30
1854;2548,14
1855;2548,05
1856;2547,95
1857;2547,95
1858;2547,92
1859;2547,70
1860;2547,51
1861;2547,46
1862;2547,40
1863;2547,32
1864;2547,13
1865;2547,10
