======================== Summary ========================

Excluded 7 buildings from processing (reason: Unknown ALKIS code: 1610)
Excluded 6 buildings from processing (reason: Building seems to be too low and has 0 storey.)
Excluded 4 buildings from processing (reason: Unknown ALKIS code: 3060)
Excluded 1 buildings from processing (reason: Heated area is too small)
Excluded 8 buildings from processing (reason: Unknown ALKIS code: 2460)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 3020)
Excluded 521 buildings from processing (reason: Missing year of construction)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2054)
Excluded 3 buildings from processing (reason: Unknown ALKIS code: 1120)


================ Excluded buildings lists ===============

Excluded 7 buildings from processing (reason: Unknown ALKIS code: 1610)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3DxmvzZlmfTo;1292,30;53,91;384907,84550;5820939,25350;-
DEBE3DkktJxoZ1Vn;513,49;40,25;384930,92400;5820084,50500;-
DEBE3DkhK3Do28jq;330,02;41,87;384444,18300;5820150,48850;-
DEBE3D04YY50000IT5;1861,99;137,35;384932,78150;5820112,27850;-
DEBE3DvJ2eWWDBcg;973,79;51,87;384935,26550;5820072,54900;-
UUID_74bee8bd-3586-4571-8d7e-9b26ee13d2f1;3406,57;232,95;384210,92400;5820071,65850;-
DEBE3DlFMHwfDooR;4783,27;205,78;384749,38500;5820299,02000;-
DEBE3D04YY50000Fnx;218,49;68,24;384595,62550;5820106,72900;-
DEBE3DA4hVwenHQq;4195,45;193,94;384928,18700;5820296,18700;-
DEBE3DmiL6C8fHjS;5974,11;270,84;384240,69100;5820140,07100;-
DEBE3DKQ9ov1lP65;1472,43;64,43;385018,18600;5820249,70900;-
DEBE3D04YY500001fL;4785,93;251,07;384897,59950;5820012,22650;-
DEBE04YY50000H4G_02;268,27;48,07;384739,69850;5820043,21300;-
DEBE3DjfBVYqLh7x;1419,27;51,12;384787,93250;5820348,33000;-
DEBE3DXfFEw4hzNs;4727,39;272,10;384343,93100;5820074,66050;-
DEBE04YY500002Ap_02;2970,32;153,97;384909,37350;5820920,39550;-
DEBE3D04YY50000D1X;5919,93;254,49;384884,94550;5820973,74900;-
DEBE3DTlAaLTvFfy;5307,60;232,98;384626,63350;5820050,67100;-
DEBE04YY500002Ap_01;2890,21;124,18;384904,57150;5820901,71650;-
UUID_c9e6535e-ddc2-4c54-88bb-533dc388010d;3338,54;225,34;384233,64350;5820045,62400;-
DEBE3DlEJbzKUF6Y;2622,66;138,25;384444,47850;5820077,18650;-
DEBE3Dptv4wdZgiZ;4777,89;211,97;384612,75600;5820103,07500;-
UUID_17c60d2e-b713-434b-8b92-7ba286ce841d;4437,54;206,51;384197,25150;5820138,50900;-
DEBE3DuIl93pLkcA;5525,38;246,66;384819,79300;5820328,09500;-
DEBE3DATKB100008Uy;48,23;0,00;384241,58150;5820749,38000;-
DEBE3D04YY50000BpD;31,59;14,94;384857,25000;5820333,24700;-
DEBE04YY50000GVa_01;64,38;7,05;384811,57350;5820198,52950;-
DEBE04YY500002Ap_04;1102,47;48,10;384927,92250;5820904,99650;-
DEBE3DPL8lGUWuyx;1826,06;115,56;384272,13850;5820037,50300;-
DEBE3D04YY500003rP;4553,12;212,10;384842,94250;5820268,68250;-
DEBE04YY50000GVa_02;496,03;60,04;384809,90350;5820203,15550;-
DEBE3DEtGQA3dvKA;510,17;26,16;384597,56500;5820033,31800;-
DEBE3Dwr3FEnShQt;2901,48;125,88;384863,16050;5820941,55900;-
DEBE3DWqMopv1b9x;1228,23;50,22;384022,23250;5820179,96450;-
DEBE3DrlHyG1YJvK;3028,62;137,14;384676,20750;5820052,93350;-
DEBE3DtayWufYy9k;1548,23;111,93;384969,51600;5820045,58500;-
DEBE3D04YY50000Nic;3349,73;169,70;384986,82700;5820119,40350;-
DEBE3DWuQs0yHo92;1265,47;60,48;384758,19450;5820050,80100;-
DEBE3Dj8DTpP3Jfu;297,36;25,82;384351,18400;5820028,18300;-
UUID_5c904949-8536-4503-b789-ab75fa5ffff7;1181,25;56,55;384882,07350;5820880,28550;-
DEBE3DZXcl3k7dP6;5675,02;239,14;384791,67650;5820203,45950;-
DEBE04YY500007Zn_02;1825,38;149,18;384510,73100;5820155,82750;-
DEBE3Dl7LO0MLn4a;4301,21;281,48;384282,98350;5820047,28850;-
DEBE3DwWr7zKDCD4;1355,75;60,35;384847,14900;5820916,34750;-
DEBE3DYBRFLoKAKF;138,28;35,12;384475,98300;5820137,52000;-
DEBE3D04YY50002c8h;54,61;4,77;384519,25450;5820111,30550;-
