Index;Consumption [kWh/h]
1186;8789,82
1187;8789,74
1188;8782,46
1189;8775,66
1190;8772,29
1191;8771,85
1192;8765,39
1193;8757,64
1194;8753,72
1195;8752,27
1196;8751,03
1197;8741,32
1198;8741,19
1199;8740,92
1200;8740,76
1201;8740,05
1202;8737,84
1203;8730,99
1204;8730,61
1205;8729,68
1206;8725,05
1207;8724,90
1208;8724,69
1209;8723,63
1210;8722,92
1211;8721,09
1212;8720,56
1213;8715,41
1214;8713,96
1215;8707,89
1216;8707,08
1217;8705,27
1218;8704,57
1219;8702,81
1220;8700,21
1221;8700,15
1222;8698,95
1223;8698,67
1224;8696,52
1225;8695,78
1226;8693,98
1227;8692,85
1228;8691,42
1229;8689,89
1230;8688,74
1231;8687,19
1232;8685,78
1233;8683,61
1234;8679,10
1235;8677,02
1236;8676,06
1237;8674,89
1238;8673,72
1239;8672,35
1240;8671,63
1241;8668,84
1242;8666,35
1243;8663,90
1244;8663,24
1245;8661,93
1246;8659,94
1247;8636,60
1248;8636,50
1249;8451,17
1250;8444,48
1251;8436,32
1252;8434,55
1253;8431,55
1254;8423,18
1255;8421,01
1256;8416,44
1257;8415,94
1258;8412,39
1259;8411,33
1260;8405,64
1261;8404,99
1262;8400,92
1263;8398,84
1264;8396,78
1265;8396,10
1266;8393,75
1267;8389,55
1268;8389,23
1269;8384,83
1270;8384,21
1271;8382,55
1272;8381,22
1273;8378,72
1274;8377,60
1275;8377,14
1276;8377,08
1277;8375,30
1278;8374,83
1279;8373,68
1280;8373,40
1281;8371,24
1282;8366,70
1283;8366,54
1284;8366,54
1285;8366,41
1286;8365,39
1287;8365,39
1288;8364,74
1289;8364,73
1290;8364,55
1291;8362,13
1292;8361,43
1293;8360,87
1294;8358,52
1295;8358,43
1296;8358,20
1297;8355,37
1298;8354,04
1299;8353,31
1300;8353,11
1301;8352,48
1302;8351,04
1303;8349,76
1304;8345,44
1305;8345,09
1306;8343,79
1307;8342,01
1308;8341,95
1309;8340,80
1310;8340,51
1311;8340,42
1312;8339,77
1313;8339,29
1314;8337,25
1315;8336,16
1316;8335,90
1317;8334,94
1318;8332,64
1319;8330,55
1320;8329,17
1321;8325,83
1322;8323,14
1323;8322,18
1324;8321,48
1325;8320,70
1326;8320,55
1327;8320,40
1328;8319,54
1329;8319,27
1330;8316,46
1331;8315,95
1332;8315,58
1333;8314,53
1334;8314,19
1335;8313,92
1336;8312,08
1337;8311,30
1338;8309,58
1339;8308,49
1340;8308,10
1341;8305,74
1342;8304,70
1343;8304,60
1344;8300,87
1345;8300,05
1346;8299,64
1347;8296,42
1348;8295,37
1349;8293,36
1350;8293,11
1351;8293,07
1352;8291,87
1353;8291,40
1354;8287,74
1355;8285,39
1356;8284,92
1357;8284,37
1358;8283,64
1359;8282,98
1360;8282,25
1361;8280,59
1362;8277,79
1363;8275,97
1364;8275,16
1365;8274,70
1366;8270,05
1367;8269,51
1368;8267,58
1369;8267,52
1370;8266,91
1371;8264,01
1372;8258,63
1373;8257,96
1374;8254,81
1375;8254,79
1376;8254,14
1377;8247,41
1378;8245,43
1379;8235,62
1380;8209,03
1381;8128,57
1382;8108,49
1383;8083,59
1384;8076,03
1385;8074,34
1386;8063,12
1387;8060,68
1388;8059,67
1389;8052,19
1390;8047,99
1391;8046,20
1392;8044,98
1393;8040,12
1394;8038,14
1395;8037,68
1396;8036,43
1397;8035,47
1398;8030,62
1399;8029,17
1400;8026,87
1401;8024,47
1402;8022,72
1403;8022,48
1404;8018,48
1405;8018,44
1406;8018,08
1407;8017,94
1408;8015,08
1409;8015,06
1410;8013,75
1411;8013,25
1412;8010,77
1413;8010,28
1414;8009,02
1415;8008,32
1416;8007,85
1417;8006,55
1418;8004,41
1419;8004,38
1420;8003,03
1421;8002,14
1422;8002,00
1423;8000,43
1424;8000,24
1425;7999,79
1426;7999,45
1427;7998,58
1428;7998,10
1429;7997,16
1430;7995,60
1431;7994,62
1432;7993,78
1433;7993,55
1434;7992,86
1435;7990,68
1436;7990,61
1437;7990,38
1438;7990,20
1439;7990,17
1440;7990,16
1441;7989,91
1442;7989,67
1443;7988,82
1444;7988,23
1445;7987,96
1446;7985,18
1447;7984,10
1448;7982,67
1449;7982,39
1450;7982,18
1451;7982,01
1452;7981,80
1453;7980,70
1454;7979,37
1455;7977,87
1456;7977,79
1457;7975,57
1458;7975,48
1459;7975,20
1460;7973,35
1461;7971,71
1462;7971,17
1463;7970,31
1464;7970,27
1465;7967,41
1466;7966,62
1467;7965,66
1468;7965,16
1469;7964,67
1470;7964,44
1471;7961,91
1472;7961,47
1473;7961,29
1474;7960,80
1475;7959,87
1476;7959,25
1477;7958,41
1478;7957,60
1479;7957,53
1480;7957,37
1481;7957,25
1482;7957,14
1483;7956,53
1484;7956,50
1485;7956,24
1486;7956,16
1487;7955,58
1488;7955,31
1489;7955,25
1490;7954,93
1491;7954,66
1492;7954,44
1493;7953,89
1494;7952,65
1495;7951,44
1496;7951,00
1497;7950,88
1498;7950,19
1499;7949,85
1500;7949,65
1501;7948,73
1502;7948,29
1503;7946,72
1504;7946,66
1505;7945,91
1506;7944,78
1507;7944,46
1508;7944,40
1509;7944,27
1510;7944,04
1511;7942,52
1512;7941,83
1513;7939,00
1514;7938,92
1515;7938,72
1516;7937,15
1517;7936,83
1518;7934,16
1519;7933,37
1520;7932,33
1521;7931,33
1522;7930,50
1523;7930,22
1524;7929,38
1525;7929,16
1526;7928,24
1527;7928,14
1528;7928,12
1529;7927,51
1530;7927,37
1531;7926,80
1532;7926,67
1533;7926,54
1534;7925,47
1535;7925,19
1536;7924,85
1537;7922,99
1538;7922,54
1539;7922,51
1540;7922,16
1541;7921,79
1542;7920,04
1543;7916,54
1544;7915,93
1545;7915,64
1546;7913,26
1547;7913,24
1548;7912,81
1549;7911,36
1550;7908,68
1551;7908,68
1552;7908,07
1553;7907,38
1554;7905,26
1555;7902,92
1556;7902,07
1557;7899,27
1558;7897,15
1559;7896,82
1560;7893,57
1561;7893,56
1562;7893,16
1563;7892,49
1564;7892,41
1565;7890,51
1566;7886,73
1567;7884,20
1568;7882,75
1569;7882,52
1570;7875,41
1571;7875,41
1572;7871,82
1573;7865,82
1574;7864,22
1575;7855,51
1576;7850,25
1577;7841,51
1578;7817,27
1579;7814,34
1580;7782,89
1581;7774,08
1582;7771,58
1583;7770,56
1584;7770,35
1585;7765,52
1586;7763,87
1587;7763,37
1588;7760,49
1589;7758,85
1590;7752,61
1591;7751,98
1592;7750,69
1593;7749,76
1594;7747,23
1595;7744,83
1596;7740,71
1597;7740,28
1598;7740,04
1599;7739,13
1600;7738,49
1601;7738,45
1602;7737,58
1603;7736,84
1604;7735,75
1605;7735,44
1606;7734,99
1607;7734,38
1608;7734,25
1609;7733,30
1610;7731,76
1611;7731,56
1612;7729,08
1613;7728,01
1614;7727,57
1615;7727,15
1616;7726,07
1617;7725,39
1618;7724,70
1619;7724,60
1620;7724,40
1621;7723,85
1622;7723,70
1623;7723,49
1624;7723,02
1625;7722,72
1626;7722,21
1627;7722,14
1628;7722,12
1629;7721,84
1630;7721,30
1631;7720,92
1632;7720,58
1633;7719,26
1634;7718,75
1635;7718,62
1636;7717,88
1637;7717,30
1638;7716,90
1639;7716,52
1640;7715,48
1641;7713,28
1642;7713,12
1643;7712,90
1644;7712,04
1645;7711,29
1646;7710,40
1647;7710,24
1648;7709,99
1649;7709,98
1650;7709,05
1651;7708,06
1652;7707,82
1653;7707,60
1654;7706,28
1655;7706,12
1656;7706,00
1657;7705,20
1658;7704,77
1659;7704,60
1660;7703,74
1661;7703,71
1662;7703,50
1663;7702,66
1664;7701,80
1665;7701,47
1666;7701,34
1667;7700,58
1668;7699,35
1669;7699,05
1670;7698,90
1671;7698,75
1672;7698,43
1673;7698,02
1674;7697,60
1675;7696,82
1676;7696,76
1677;7696,45
1678;7696,20
1679;7695,82
1680;7695,70
1681;7695,42
1682;7695,32
1683;7695,27
1684;7695,02
1685;7694,34
1686;7693,67
1687;7693,55
1688;7693,06
1689;7692,92
1690;7692,72
1691;7692,70
1692;7692,52
1693;7692,27
1694;7692,00
1695;7690,49
1696;7690,03
1697;7689,43
1698;7689,35
1699;7689,25
1700;7688,87
1701;7688,81
1702;7688,60
1703;7688,33
1704;7688,24
1705;7688,21
1706;7688,13
1707;7687,69
1708;7687,48
1709;7687,37
1710;7687,22
1711;7687,04
1712;7686,92
1713;7686,78
1714;7686,66
1715;7686,56
1716;7686,41
1717;7686,32
1718;7685,34
1719;7685,16
1720;7684,71
1721;7684,67
1722;7684,34
1723;7684,31
1724;7684,30
1725;7684,25
1726;7684,17
1727;7683,62
1728;7683,10
1729;7682,68
1730;7682,21
1731;7681,72
1732;7681,63
1733;7681,59
1734;7681,38
1735;7681,20
1736;7680,64
1737;7680,05
1738;7679,36
1739;7679,18
1740;7679,11
1741;7678,88
1742;7678,80
1743;7678,56
1744;7678,42
1745;7678,05
1746;7677,92
1747;7677,71
1748;7677,54
1749;7677,27
1750;7677,27
1751;7677,03
1752;7677,00
1753;7676,69
1754;7676,10
1755;7675,59
1756;7675,40
1757;7675,27
1758;7675,06
1759;7674,82
1760;7674,67
1761;7674,58
1762;7674,55
1763;7674,32
1764;7674,15
1765;7673,68
1766;7672,57
1767;7672,34
1768;7671,95
1769;7671,20
1770;7671,18
1771;7670,75
1772;7670,59
1773;7670,28
1774;7670,02
1775;7669,91
1776;7669,90
1777;7669,10
1778;7668,90
1779;7668,66
1780;7668,39
1781;7668,35
1782;7667,62
1783;7667,58
1784;7667,38
1785;7667,04
1786;7667,00
1787;7666,87
1788;7666,74
1789;7666,71
1790;7666,18
1791;7665,41
1792;7665,06
1793;7663,54
1794;7662,83
1795;7662,44
1796;7662,28
1797;7662,10
1798;7661,74
1799;7661,64
1800;7661,24
1801;7660,90
1802;7660,82
1803;7660,32
1804;7660,17
1805;7660,03
1806;7659,78
1807;7659,60
1808;7659,52
1809;7659,34
1810;7659,25
1811;7658,98
1812;7657,50
1813;7657,39
